('marstonBigJ', 'dfsajJKK232', 'John', 'Marston, 'Redemption', '20/03/1819', '79123009234', 'rdr@gmail.com'),
('deerlover123', 'dfjk884392d', 'Artur', 'Morgan', 'Redemption', '19/02/1818', '79123330909' 'rdr2@gmail.com'),
('BigCaptain', 'asdj39KK', 'Jack', 'Sparrow', 'Captain', '03/03/1993', '79129082989', 'captainjack@bk.ru'),
('hellokitty322', 'fcaskds123JK', 'Hello', 'Kitty', 'Kotovna', '13/12/2013', '79940231909', 'hellokitty@list.ru'),
('spiderman432', 'sdfsd3df2GG', 'Peter', 'Parker', 'Paukovich', '12/01/1999', '79991230965', 'spiderbitten@mail.ru'),
('superman349', '324JKJDddd', '', '', '', '', '', ''),
('batman3498', '4324dfdFFDD', '', '', '', '', '', ''),
('theinvincible', 'kl432ksdfII', '', '', '', '', '', ''),
('', 'fsdfseR239R', '', '', '', '', '', ''),
('', 'fdslllfdk5347', '', '', '', '', '', ''),
('', 'fsfFGHsdf3', '', '', '', '', '', ''),
('', '23432fFFFdf', '', '', '', '', '', ''),



INSERT INTO clients (username, password, firstname, lastname, patronym, birthdate, phonenum, email) VALUES ('marstonBigJ', 'dfsajJKK232', 'John', 'Marston', 'Redemption', '20/03/1819', '79123009234', 'rdr@gmail.com'),
('deerlover123', 'dfjk884392d', 'ArtHur', 'Morgan', 'Redemption', '19/02/1818', '79123330909' 'rdr2@gmail.com'),
('BigCaptain', 'asdj39KK', 'Jack', 'Sparrow', 'Captain', '03/03/1993', '79129082989', 'captainjack@bk.ru'),
('hellokitty322', 'fcaskds123JK', 'Hello', 'Kitty', 'Kotovna', '13/12/2013', '79940231909', 'hellokitty@list.ru'),
('spiderman432', 'sdfsd3df2GG', 'Peter', 'Parker', 'Paukovich', '12/01/1999', '79991230965', 'spiderbitten@mail.ru')


